upper_ch1,ascii_upper_ch1,upper_ch2,ascii_upper_ch2,upper_ch1_ch2,count_ch1_ch2
',39,T,84,'T,325
.,46,.,46,..,325
U,85,U,85,UU,325
T,84,B,66,TB,324
I,73,),41,I),324
 ,32,7,55, 7,324
-,45,),41,-),321
P,80,G,71,PG,317
`,96,),41,`),315
*,42,K,75,*K,311
`,96,F,70,`F,308
Æ,198,M,77,ÆM,308
2,50,",",44,"2,",307
D,68,P,80,DP,306
2,50,7,55,27,305
U,85,"
",10,"U
",300
A,65,Ë,203,AË,299
É,201,P,80,ÉP,297
K,75,K,75,KK,288
T,84,],93,T],288
D,68,:,58,D:,288
C,67,Æ,198,CÆ,288
M,77,H,72,MH,287
V,86,R,82,VR,286
Z,90,",",44,"Z,",284
"""",34,.,46,""".",282
W,87,B,66,WB,279
2,50,0,48,20,274
B,66,V,86,BV,272
B,66,N,78,BN,271
D,68,B,66,DB,269
[,91,B,66,[B,269
"""",34,Q,81,"""Q",268
L,76,É,201,LÉ,267
H,72,',39,H',267
.,46,C,67,.C,266
K,75,B,66,KB,264
G,71,',39,G',264
H,72,É,201,HÉ,262
O,79,),41,O),261
N,78,É,201,NÉ,260
P,80,',39,P',258
 ,32,;,59, ;,257
L,76,H,72,LH,256
É,201,",",44,"É,",254
T,84,P,80,TP,254
I,73,J,74,IJ,253
(,40,U,85,(U,253
P,80,É,201,PÉ,252
&,38,"
",10,"&
",252
R,82,Z,90,RZ,251
V,86,`,96,V`,251
 ,32,],93, ],251
Z,90,U,85,ZU,250
B,66,-,45,B-,247
3,51,D,68,3D,243
É,201,N,78,ÉN,243
E,69,Ó,211,EÓ,242
 ,32,Æ,198, Æ,241
B,66,H,72,BH,240
È,200,R,82,ÈR,238
W,87,`,96,W`,236
"""",34,J,74,"""J",234
Y,89,F,70,YF,233
É,201,S,83,ÉS,233
I,73,',39,I',232
P,80,F,70,PF,232
F,70,),41,F),231
Y,89,H,72,YH,229
G,71,B,66,GB,228
K,75,),41,K),227
V,86,Æ,198,VÆ,226
-,45,V,86,-V,225
É,201,L,76,ÉL,223
3,51, ,32,3 ,219
K,75,T,84,KT,214
2,50,2,50,22,214
I,73,;,59,I;,212
Z,90,.,46,Z.,211
É,201,M,77,ÉM,211
T,84,Æ,198,TÆ,208
7,55,7,55,77,206
Y,89,Z,90,YZ,206
Æ,198,"""",34,"Æ""",206
H,72,H,72,HH,206
7,55,),41,7),206
I,73,Æ,198,IÆ,205
Æ,198,N,78,ÆN,204
A,65,],93,A],202
É,201,D,68,ÉD,202
2,50,1,49,21,201
E,69,Á,193,EÁ,199
Ö,214,R,82,ÖR,198
2,50,4,52,24,198
0,48,",",44,"0,",198
`,96,Z,90,`Z,195
3,51,",",44,"3,",195
4,52, ,32,4 ,194
],93,",",44,"],",194
E,69,Æ,198,EÆ,192
Æ,198,A,65,ÆA,192
M,77,T,84,MT,192
C,67,N,78,CN,191
X,88,S,83,XS,191
-,45,U,85,-U,190
],93,.,46,].,190
4,52,",",44,"4,",189
U,85,H,72,UH,189
S,83,J,74,SJ,187
E,69,Ë,203,EË,186
"
",10,.,46,"
.",184
É,201,E,69,ÉE,182
É,201,G,71,ÉG,182
-,45,Y,89,-Y,180
W,87,U,85,WU,180
B,66,C,67,BC,180
Z,90, ,32,Z ,179
2,50,3,51,23,179
5,53, ,32,5 ,179
B,66,',39,B',178
 ,32,*,42, *,176
S,83,É,201,SÉ,175
1,49,",",44,"1,",175
.,46,L,76,.L,175
A,65,:,58,A:,175
Æ,198,),41,Æ),175
6,54, ,32,6 ,174
Æ,198,T,84,ÆT,174
=,61, ,32,= ,174
2,50,5,53,25,173
K,75,F,70,KF,173
L,76,:,58,L:,168
 ,32,=,61, =,165
4,52,8,56,48,164
(,40,V,86,(V,163
3,51,0,48,30,163
8,56,),41,8),162
E,69,!,33,E!,161
8,56, ,32,8 ,160
D,68,C,67,DC,160
 ,32,Þ,222, Þ,157
.,46,F,70,.F,153
`,96,Q,81,`Q,153
Y,89,U,85,YU,152
-,45,J,74,-J,152
',39,D,68,'D,152
.,46,T,84,.T,151
"
",10,+,43,"
+",149
H,72,2,50,H2,148
`,96,K,75,`K,148
(,40,J,74,(J,147
2,50,),41,2),147
T,84,1,49,T1,145
"
",10,',39,"
'",145
M,77,D,68,MD,144
N,78,],93,N],143
Æ,198,R,82,ÆR,142
D,68,],93,D],141
É,201,F,70,ÉF,141
4,52,),41,4),140
G,71,É,201,GÉ,139
W,87,*,42,W*,139
2,50,8,56,28,138
L,76,X,88,LX,138
.,46,N,78,.N,136
W,87,],93,W],136
3,51,2,50,32,136
É,201,O,79,ÉO,136
2,50,6,54,26,135
A,65,',39,A',135
X,88,-,45,X-,134
5,53,),41,5),134
Æ,198,G,71,ÆG,133
4,52,T,84,4T,133
M,77,C,67,MC,133
1,49,),41,1),133
K,75,',39,K',133
Y,89,],93,Y],132
X,88,F,70,XF,132
M,77,Æ,198,MÆ,131
"""",34,*,42,"""*",131
6,54,",",44,"6,",130
5,53,",",44,"5,",130
S,83,!,33,S!,129
2,50,9,57,29,127
3,51,5,53,35,126
X,88,),41,X),125
M,77,V,86,MV,125
7,55, ,32,7 ,124
C,67,É,201,CÉ,124
H,72,:,58,H:,123
6,54,0,48,60,123
P,80,Æ,198,PÆ,123
Æ,198,O,79,ÆO,123
5,53,0,48,50,122
R,82,],93,R],122
G,71,Æ,198,GÆ,121
',39,A,65,'A,121
H,72,1,49,H1,120
T,84,D,68,TD,120
Ö,214,P,80,ÖP,118
\,92,',39,\',118
Æ,198,C,67,ÆC,118
M,77,',39,M',117
U,85,W,87,UW,117
Y,89,K,75,YK,116
O,79,2,50,O2,116
H,72,P,80,HP,116
6,54,H,72,6H,116
Æ,198,;,59,Æ;,115
º,186, ,32,º ,115
8,56,0,48,80,115
U,85,;,59,U;,114
É,201,V,86,ÉV,114
G,71,:,58,G:,114
Ö,214,N,78,ÖN,113
`,96,H,72,`H,112
P,80,),41,P),111
É,201, ,32,É ,110
C,67,6,54,C6,109
9,57,0,48,90,109
3,51,),41,3),109
`,96,Ë,203,`Ë,108
[,91,J,74,[J,108
Z,90,),41,Z),107
4,52,0,48,40,106
É,201,A,65,ÉA,105
P,80,K,75,PK,105
I,73,É,201,IÉ,104
.,46,O,79,.O,104
Æ,198,*,42,Æ*,104
5,53,T,84,5T,103
9,57, ,32,9 ,103
T,84,V,86,TV,103
H,72,V,86,HV,102
3,51,6,54,36,102
",",44,0,48,",0",102
8,56,",",44,"8,",101
 ,32,:,58, :,101
"
",10,&,38,"
&",101
H,72,3,51,H3,100
O,79,Ï,207,OÏ,100
C,67,1,49,C1,99
L,76,Z,90,LZ,99
B,66,É,201,BÉ,98
2,50,H,72,2H,98
 ,32,!,33, !,97
3,51,3,51,33,97
Ë,203,N,78,ËN,97
9,57,",",44,"9,",96
B,66,Æ,198,BÆ,96
H,72,C,67,HC,96
7,55,",",44,"7,",95
F,70,É,201,FÉ,95
M,77,W,87,MW,95
.,46,-,45,.-,95
M,77,È,200,MÈ,93
G,71,P,80,GP,93
È,200,T,84,ÈT,92
6,54,4,52,64,92
É,201,"""",34,"É""",92
C,67,D,68,CD,90
5,53,6,54,56,90
A,65,Ï,207,AÏ,90
Q,81,"""",34,"Q""",89
8,56,6,54,86,88
6,54,T,84,6T,88
3,51,1,49,31,88
-,45,Z,90,-Z,88
0,48,),41,0),87
2,50,O,79,2O,87
8,56,8,56,88,87
6,54,5,53,65,86
.,46,[,91,.[,86
Ë,203,M,77,ËM,86
3,51,4,52,34,86
K,75,J,74,KJ,85
9,57,1,49,91,84
Z,90,`,96,Z`,84
W,87,',39,W',83
D,68,!,33,D!,83
J,74,"""",34,"J""",83
V,86,),41,V),83
-,45,1,49,-1,82
Ï,207,D,68,ÏD,82
I,73,È,200,IÈ,82
K,75,:,58,K:,82
H,72,4,52,H4,82
Æ,198,D,68,ÆD,81
6,54,6,54,66,81
Ê,202,T,84,ÊT,81
V,86,É,201,VÉ,81
É,201,B,66,ÉB,81
-,45,+,43,-+,80
S,83,Æ,198,SÆ,80
8,56,4,52,84,80
8,56,9,57,89,80
L,76,J,74,LJ,80
H,72,],93,H],80
6,54,3,51,63,79
 ,32,|,124, |,79
Z,90,"
",10,"Z
",79
B,66,W,87,BW,79
",",44,A,65,",A",79
É,201,`,96,É`,79
!,33,"""",34,"!""",79
D,68,K,75,DK,78
-,45,;,59,-;,78
0,48,º,186,0º,77
',39,C,67,'C,77
V,86,",",44,"V,",77
(,40,),41,(),77
B,66,F,70,BF,76
C,67,2,50,C2,76
C,67,W,87,CW,76
Æ,198,U,85,ÆU,76
W,87,C,67,WC,76
7,55,5,53,75,75
W,87,:,58,W:,75
*,42,1,49,*1,75
C,67,-,45,C-,75
8,56,2,50,82,75
8,56,3,51,83,74
Æ,198,V,86,ÆV,74
8,56,7,55,87,74
C,67,X,88,CX,73
L,76,],93,L],73
F,70,',39,F',73
K,75,V,86,KV,73
W,87,W,87,WW,73
T,84,!,33,T!,73
7,55,9,57,79,73
Q,81,A,65,QA,72
"
",10,Æ,198,"
Æ",72
Æ,198,L,76,ÆL,72
Ö,214,S,83,ÖS,72
R,82,Ö,214,RÖ,72
3,51,7,55,37,72
W,87,G,71,WG,71
H,72,5,53,H5,71
.,46,G,71,.G,71
Ä,196,R,82,ÄR,71
Z,90,W,87,ZW,71
.,46,I,73,.I,71
.,46,H,72,.H,70
*,42,Ö,214,*Ö,70
K,75,P,80,KP,70
6,54,1,49,61,70
C,67,Z,90,CZ,69
;,59,P,80,;P,69
',39,M,77,'M,68
9,57,2,50,92,68
T,84,K,75,TK,68
2,50,"
",10,"2
",68
|,124, ,32,| ,67
1,49,"
",10,"1
",67
8,56,5,53,85,66
U,85,J,74,UJ,66
K,75,G,71,KG,66
W,87,Æ,198,WÆ,66
7,55,T,84,7T,66
P,80,C,67,PC,66
0,48,4,52,04,65
4,52,6,54,46,65
[,91,V,86,[V,65
5,53,4,52,54,65
T,84,J,74,TJ,65
.,46,(,40,.(,65
Ö,214,G,71,ÖG,64
7,55,0,48,70,63
(,40,2,50,(2,63
N,78,!,33,N!,63
[,91,Q,81,[Q,63
[,91, ,32,[ ,62
K,75,*,42,K*,62
P,80,È,200,PÈ,62
Ö,214,*,42,Ö*,62
3,51,8,56,38,62
4,52,5,53,45,61
8,56,1,49,81,61
U,85,Q,81,UQ,60
Ö,214,T,84,ÖT,60
7,55,8,56,78,60
B,66,K,75,BK,60
V,86,L,76,VL,59
4,52,3,51,43,59
J,74, ,32,J ,59
7,55,6,54,76,59
",",44,",",44,",,",59
3,51,9,57,39,59
6,54,2,50,62,59
),41,2,50,)2,58
M,77,],93,M],58
É,201,I,73,ÉI,58
.,46,3,51,.3,57
G,71,™,8482,G™,57
U,85,-,45,U-,57
6,54,),41,6),57
Ë,203,X,88,ËX,57
I,73,^,94,I^,57
.,46,2,50,.2,57
R,82,Ä,196,RÄ,56
F,70,Æ,198,FÆ,56
P,80,D,68,PD,56
G,71,J,74,GJ,56
Y,89,!,33,Y!,56
O,79,3,51,O3,56
;,59,"""",34,";""",56
5,53,5,53,55,56
J,74,",",44,"J,",55
',39,"
",10,"'
",55
.,46,5,53,.5,55
',39,I,73,'I,55
K,75,D,68,KD,55
È,200,N,78,ÈN,55
X,88,Q,81,XQ,55
T,84,È,200,TÈ,54
J,74,),41,J),54
.,46,B,66,.B,54
K,75,C,67,KC,53
',39,O,79,'O,53
 ,32,0,48, 0,53
',39,N,78,'N,53
(,40,"
",10,"(
",53
 ,32,§,167, §,53
0,48,"
",10,"0
",52
Ç,199,A,65,ÇA,52
5,53,8,56,58,51
C,67,G,71,CG,51
O,79,4,52,O4,51
G,71,Z,90,GZ,51
"
",10,É,201,"
É",50
Ä,196,N,78,ÄN,50
3,51,H,72,3H,50
",",44,N,78,",N",50
.,46,1,49,.1,50
Z,90,D,68,ZD,49
.,46,&,38,.&,49
É,201,Q,81,ÉQ,49
 ,32,À,192, À,49
D,68,(,40,D(,49
T,84,2,50,T2,49
P,80,:,58,P:,49
5,53,9,57,59,49
À,192, ,32,À ,49
9,57,3,51,93,49
4,52,2,50,42,49
5,53,3,51,53,49
-,45,Q,81,-Q,49
S,83,Z,90,SZ,49
B,66,G,71,BG,48
"""",34,[,91,"""[",48
Ä,196,L,76,ÄL,48
C,67,M,77,CM,48
6,54,8,56,68,48
F,70,È,200,FÈ,47
"""",34,Ë,203,"""Ë",47
7,55,1,49,71,47
4,52,4,52,44,47
Æ,198,F,70,ÆF,46
U,85,É,201,UÉ,46
9,57,4,52,94,45
V,86, ,32,V ,45
§,167, ,32,§ ,45
9,57,),41,9),45
',39,R,82,'R,45
.,46,A,65,.A,45
0,48,H,72,0H,45
L,76,Ä,196,LÄ,45
',39,",",44,"',",45
!,33,"
",10,"!
",45
*,42,Æ,198,*Æ,45
6,54,7,55,67,45
5,53,7,55,57,44
Â,194,T,84,ÂT,44
4,52,H,72,4H,44
J,74,R,82,JR,44
`,96,Ö,214,`Ö,44
4,52,1,49,41,44
H,72,Q,81,HQ,43
[,91,Z,90,[Z,43
O,79,!,33,O!,43
H,72,!,33,H!,42
5,53,H,72,5H,42
Ó,211,N,78,ÓN,42
M,77,G,71,MG,42
5,53,1,49,51,42
M,77,J,74,MJ,42
A,65,Í,205,AÍ,42
Z,90,-,45,Z-,42
A,65,Ú,218,AÚ,42
™,8482, ,32,™ ,42
L,76,Q,81,LQ,42
`,96,W,87,`W,42
Æ,198,`,96,Æ`,42
I,73,Y,89,IY,42
 ,32,Ç,199, Ç,42
O,79,Ë,203,OË,42
"""",34,;,59,""";",41
5,53,2,50,52,41
*,42,Ë,203,*Ë,41
`,96,J,74,`J,41
R,82,!,33,R!,41
7,55,2,50,72,41
V,86,Ä,196,VÄ,40
Î,206,T,84,ÎT,40
(,40,Q,81,(Q,40
C,67,3,51,C3,40
L,76,Ö,214,LÖ,40
.,46,0,48,.0,40
0,48,6,54,06,40
-,45,*,42,-*,39
Ü,220,R,82,ÜR,39
6,54,9,57,69,39
`,96,"
",10,"`
",39
`,96,*,42,`*,39
K,75,Z,90,KZ,39
Y,89,V,86,YV,39
C,67,5,53,C5,38
7,55,3,51,73,38
0,48,8,56,08,38
.,46,D,68,.D,38
.,46,4,52,.4,38
 ,32,Ý,221, Ý,38
 ,32,Ö,214, Ö,38
§,167,§,167,§§,38
8,56,T,84,8T,38
È,200,D,68,ÈD,38
Ö,214,K,75,ÖK,38
0,48,1,49,01,37
R,82,Ê,202,RÊ,37
F,70,W,87,FW,37
-,45,"""",34,"-""",37
",",44,T,84,",T",37
C,67,:,58,C:,37
J,74,Ö,214,JÖ,37
4,52,7,55,47,37
.,46,7,55,.7,37
7,55,4,52,74,37
X,88,:,58,X:,37
0,48,2,50,02,36
L,76,È,200,LÈ,36
"""",34,Ö,214,"""Ö",36
Æ,198,"
",10,"Æ
",36
J,74,K,75,JK,36
Þ,222,R,82,ÞR,36
N,78,2,50,N2,35
Ö,214,D,68,ÖD,35
H,72,6,54,H6,35
9,57,5,53,95,35
",",44,F,70,",F",35
",",44,E,69,",E",35
),41,:,58,):,35
Ó,211,W,87,ÓW,35
F,70,G,71,FG,35
É,201,-,45,É-,35
G,71,C,67,GC,34
Q,81,I,73,QI,34
D,68,Z,90,DZ,34
9,57,6,54,96,34
X,88,W,87,XW,33
Ú,218,R,82,ÚR,33
Ñ,209,A,65,ÑA,33
Æ,198,P,80,ÆP,33
Ô,212,T,84,ÔT,33
H,72,K,75,HK,33
4,52,9,57,49,33
3,51,"
",10,"3
",33
F,70,V,86,FV,33
Ç,199,O,79,ÇO,32
Z,90,N,78,ZN,32
9,57,7,55,97,32
G,71,È,200,GÈ,32
9,57,T,84,9T,32
T,84,Ö,214,TÖ,32
.,46,9,57,.9,32
Ó,211,T,84,ÓT,32
"""",34,],93,"""]",32
F,70,:,58,F:,32
*,42,2,50,*2,32
C,67,B,66,CB,32
Ï,207,N,78,ÏN,32
Z,90,R,82,ZR,32
.,46,M,77,.M,32
',39,',39,'',32
H,72,Ö,214,HÖ,32
2,50,N,78,2N,31
(,40,X,88,(X,31
",",44,2,50,",2",31
[,91,X,88,[X,31
Ë,203,T,84,ËT,31
Q,81, ,32,Q ,31
',39,G,71,'G,31
1,49,-,45,1-,31
Á,193,S,83,ÁS,31
Ä,196,S,83,ÄS,31
Ñ,209,O,79,ÑO,31
 ,32,$,36, $,31
Z,90,H,72,ZH,31
8,56,"
",10,"8
",31
"""",34,',39,"""'",30
F,70,H,72,FH,30
9,57,8,56,98,30
Z,90,',39,Z',30
F,70,B,66,FB,30
Þ,222,E,69,ÞE,30
Q,81,O,79,QO,30
C,67,8,56,C8,30
M,77,Ü,220,MÜ,30
C,67,4,52,C4,30
^,94,N,78,^N,30
R,82,È,200,RÈ,30
 ,32,`,96, `,30
U,85,),41,U),30
5,53,"
",10,"5
",29
P,80,J,74,PJ,29
L,76,Ü,220,LÜ,29
*,42, ,32,* ,29
3,51,T,84,3T,29
*,42,*,42,**,29
8,56,H,72,8H,29
V,86,-,45,V-,29
",",44,.,46,",.",29
Ó,211,R,82,ÓR,29
R,82,Ü,220,RÜ,29
H,72,È,200,HÈ,29
',39,B,66,'B,28
B,66,Ä,196,BÄ,28
R,82,Ô,212,RÔ,28
0,48,-,45,0-,28
Ü,220,T,84,ÜT,28
(,40,3,51,(3,28
Þ,222,A,65,ÞA,28
Ü,220,L,76,ÜL,28
H,72,8,56,H8,28
Ä,196,T,84,ÄT,28
.,46,8,56,.8,28
3,51,O,79,3O,28
#,35,;,59,#;,28
H,72,J,74,HJ,27
0,48,7,55,07,27
",",44,I,73,",I",27
H,72,Ä,196,HÄ,27
"
",10,*,42,"
*",27
J,74,N,78,JN,27
C,67,',39,C',27
0,48,T,84,0T,27
F,70,M,77,FM,27
[,91,2,50,[2,27
(,40,Æ,198,(Æ,27
M,77,Ö,214,MÖ,27
É,201,H,72,ÉH,27
4,52,O,79,4O,27
4,52,"
",10,"4
",27
F,70,D,68,FD,27
0,48,9,57,09,26
V,86,V,86,VV,26
K,75,Ö,214,KÖ,26
.,46,6,54,.6,26
T,84,Ê,202,TÊ,26
G,71,Ä,196,GÄ,26
2,50,-,45,2-,26
Ô,212,L,76,ÔL,26
Þ,222,O,79,ÞO,26
L,76,!,33,L!,26
;,59,-,45,;-,26
Q,81,R,82,QR,26
I,73,:,58,I:,25
.,46,',39,.',25
V,86,D,68,VD,25
',39,H,72,'H,25
L,76,Â,194,LÂ,25
C,67,V,86,CV,25
',39,-,45,'-,25
Ä,196,H,72,ÄH,25
Í,205,R,82,ÍR,25
0,48,;,59,0;,25
Ö,214,-,45,Ö-,25
0,48,3,51,03,25
.,46,K,75,.K,25
9,57,9,57,99,24
S,83,(,40,S(,24
N,78,Ö,214,NÖ,24
Ï,207,S,83,ÏS,24
5,53,],93,5],24
Á,193,N,78,ÁN,24
A,65,É,201,AÉ,24
H,72,Ü,220,HÜ,24
3,51,-,45,3-,24
Î,206,N,78,ÎN,24
',39,.,46,'.,24
2,50,S,83,2S,24
Z,90,;,59,Z;,23
Ê,202,L,76,ÊL,23
M,77,Ä,196,MÄ,23
C,67,P,80,CP,23
Á,193,F,70,ÁF,23
S,83,Ö,214,SÖ,23
*,42,5,53,*5,23
K,75,Ä,196,KÄ,23
Á,193,R,82,ÁR,23
.,46,R,82,.R,23
I,73,],93,I],23
B,66,Ü,220,BÜ,23
",",44,;,59,",;",23
B,66,Ö,214,BÖ,23
M,77,K,75,MK,23
Á,193,M,77,ÁM,23
E,69,Ï,207,EÏ,23
0,48,5,53,05,23
2,50,C,67,2C,23
],93,;,59,];,23
D,68,Ö,214,DÖ,22
F,70,],93,F],22
Ü,220,C,67,ÜC,22
9,57,"
",10,"9
",22
.,46,J,74,.J,22
9,57,H,72,9H,22
F,70,C,67,FC,22
K,75,],93,K],22
B,66,:,58,B:,22
Ä,196,G,71,ÄG,22
',39,9,57,'9,22
J,74,D,68,JD,22
S,83,Ä,196,SÄ,22
A,65,Î,206,AÎ,22
N,78,Ä,196,NÄ,22
Æ,198,I,73,ÆI,22
F,70,J,74,FJ,22
",",44,],93,",]",21
-,45,2,50,-2,21
W,87,Z,90,WZ,21
 ,32,Ä,196, Ä,21
Ë,203,*,42,Ë*,21
Ë,203,S,83,ËS,21
È,200,C,67,ÈC,21
º,186,.,46,º.,21
.,46,+,43,.+,21
O,79,5,53,O5,21
Ü,220,N,78,ÜN,21
Â,194,L,76,ÂL,21
È,200,L,76,ÈL,21
[,91,K,75,[K,21
7,55,H,72,7H,21
H,72,Â,194,HÂ,21
6,54,"
",10,"6
",21
P,80,Â,194,PÂ,21
V,86,N,78,VN,20
N,78,Ç,199,NÇ,20
Ó,211,F,70,ÓF,20
F,70,Ö,214,FÖ,20
A,65,Ñ,209,AÑ,20
",",44,O,79,",O",20
P,80,Z,90,PZ,20
;,59,;,59,;;,20
È,200,M,77,ÈM,20
^,94,S,83,^S,20
-,45,8,56,-8,20
Á,193,P,80,ÁP,20
O,79,],93,O],20
Ý,221,E,69,ÝE,20
H,72,7,55,H7,20
Ó,211,S,83,ÓS,20
Þ,222,U,85,ÞU,20
Á,193,H,72,ÁH,20
V,86,*,42,V*,20
R,82,Â,194,RÂ,20
6,54,-,45,6-,20
-,45,9,57,-9,19
Ü,220,H,72,ÜH,19
2,50,;,59,2;,19
É,201,J,74,ÉJ,19
X,88,M,77,XM,19
Æ,198,E,69,ÆE,19
X,88,B,66,XB,19
Y,89,^,94,Y^,19
G,71,(,40,G(,19
K,75,!,33,K!,19
7,55,"
",10,"7
",19
D,68,Q,81,DQ,19
2,50,º,186,2º,19
Ï,207,V,86,ÏV,19
Z,90,*,42,Z*,19
Ï,207,Q,81,ÏQ,19
C,67,È,200,CÈ,19
Ö,214,M,77,ÖM,19
Z,90,T,84,ZT,19
V,86,S,83,VS,19
V,86,T,84,VT,19
',39,8,56,'8,18
G,71,K,75,GK,18
A,65,Ç,199,AÇ,18
",",44,1,49,",1",18
U,85,',39,U',18
V,86,',39,V',18
Ä,196,D,68,ÄD,18
Q,81,E,69,QE,18
È,200,G,71,ÈG,18
Q,81,`,96,Q`,18
J,74,S,83,JS,18
Ô,212,N,78,ÔN,18
`,96,Æ,198,`Æ,18
C,67,9,57,C9,18
É,201,"
",10,"É
",18
2,50,T,84,2T,18
X,88,',39,X',18
(,40,Y,89,(Y,18
 ,32,~,126, ~,17
W,87,!,33,W!,17
{,123, ,32,{ ,17
A,65,\,92,A\,17
"
",10,",",44,"
,",17
C,67,7,55,C7,17
Ä,196,M,77,ÄM,17
"
",10,Þ,222,"
Þ",17
Á,193,W,87,ÁW,17
Û,219,T,84,ÛT,17
Æ,198,K,75,ÆK,17
',39,Y,89,'Y,16
M,77,Â,194,MÂ,16
',39,V,86,'V,16
V,86,W,87,VW,16
A,65,2,50,A2,16
-,45,4,52,-4,16
Y,89,È,200,YÈ,16
P,80,Ê,202,PÊ,16
X,88,2,50,X2,16
4,52,N,78,4N,16
F,70,K,75,FK,16
M,77,Ê,202,MÊ,16
9,57,-,45,9-,16
H,72,\,92,H\,16
M,77,!,33,M!,16
),41,],93,)],16
H,72,Ô,212,HÔ,16
Z,90,V,86,ZV,16
*,42,6,54,*6,16
T,84,9,57,T9,16
J,74,Ä,196,JÄ,16
^,94,M,77,^M,16
1,49,/,47,1/,16
P,80,Q,81,PQ,16
T,84,3,51,T3,16
O,79,6,54,O6,16
6,54,O,79,6O,16
T,84,8,56,T8,15
0,48,O,79,0O,15
W,87,Ä,196,WÄ,15
`,96,;,59,`;,15
3,51,N,78,3N,15
W,87,X,88,WX,15
7,55,N,78,7N,15
Ö,214,",",44,"Ö,",15
Ä,196,F,70,ÄF,15
Â,194,C,67,ÂC,15
È,200,S,83,ÈS,15
[,91,Y,89,[Y,15
Ü,220,G,71,ÜG,15
Í,205,H,72,ÍH,15
),41,3,51,)3,15
X,88,G,71,XG,15
*,42,"""",34,"*""",15
Â,194,N,78,ÂN,15
º,186,",",44,"º,",15
Ë,203,P,80,ËP,15
J,74,`,96,J`,15
1,49,T,84,1T,15
°,176, ,32,° ,15
",",44,V,86,",V",15
Z,90,S,83,ZS,15
-,45,3,51,-3,15
Ö,214,F,70,ÖF,14
',39,),41,'),14
F,70,Ü,220,FÜ,14
-,45,`,96,-`,14
K,75,Ü,220,KÜ,14
X,88,É,201,XÉ,14
(,40,=,61,(=,14
S,83,2,50,S2,14
P,80,!,33,P!,14
S,83,È,200,SÈ,14
À,192,-,45,À-,14
*,42,X,88,*X,14
Z,90,É,201,ZÉ,14
O,79,Î,206,OÎ,14
Ê,202,C,67,ÊC,14
Z,90,M,77,ZM,14
T,84,Ä,196,TÄ,14
Ä,196,C,67,ÄC,14
F,70,Z,90,FZ,14
"""",34,"""",34,"""""",14
4,52,-,45,4-,14
V,86,Ö,214,VÖ,14
Ë,203,L,76,ËL,14
8,56,O,79,8O,14
(,40,"""",34,"(""",14
Ä,196,K,75,ÄK,14
8,56,-,45,8-,14
",",44,4,52,",4",13
M,77,Z,90,MZ,13
Ü,220,B,66,ÜB,13
Q,81,V,86,QV,13
Ó,211,G,71,ÓG,13
G,71,Ö,214,GÖ,13
O,79,Û,219,OÛ,13
Ó,211,",",44,"Ó,",13
R,82,Á,193,RÁ,13
Ö,214,C,67,ÖC,13
",",44,P,80,",P",13
U,85,Ñ,209,UÑ,13
O,79,\,92,O\,13
W,87,Ü,220,WÜ,13
R,82,Å,197,RÅ,13
Å,197,N,78,ÅN,13
G,71,!,33,G!,13
',39,"""",34,"'""",12
4,52,;,59,4;,12
Z,90,G,71,ZG,12
.,46,Q,81,.Q,12
3,51,;,59,3;,12
Q,81,",",44,"Q,",12
Ó,211,D,68,ÓD,12
O,79,É,201,OÉ,12
4,52,L,76,4L,12
™,8482,"
",10,"™
",12
É,201,;,59,É;,12
L,76,2,50,L2,12
8,56,;,59,8;,12
Å,197,R,82,ÅR,12
5,53,-,45,5-,12
É,201,Z,90,ÉZ,12
O,79,Ñ,209,OÑ,12
È,200,V,86,ÈV,12
W,87,^,94,W^,12
Þ,222,I,73,ÞI,12
F,70,P,80,FP,12
J,74,T,84,JT,12
0,48,°,176,0°,12
-,45,À,192,-À,12
",",44,5,53,",5",12
",",44,G,71,",G",12
[,91,],93,[],12
P,80,],93,P],12
5,53,;,59,5;,12
2,50,(,40,2(,12
Å,197,L,76,ÅL,12
Ä,196,U,85,ÄU,12
Y,89,Æ,198,YÆ,11
R,82,X,88,RX,11
",",44,7,55,",7",11
-,45,],93,-],11
X,88,R,82,XR,11
 ,32,£,163, £,11
Ü,220,S,83,ÜS,11
5,53,O,79,5O,11
J,74,;,59,J;,11
5,53,º,186,5º,11
Ô,212,M,77,ÔM,11
),41,4,52,)4,11
Y,89,(,40,Y(,11
U,85,!,33,U!,11
T,84,4,52,T4,11
N,78,(,40,N(,11
Á,193,D,68,ÁD,11
-,45,(,40,-(,11
$,36,1,49,$1,11
`,96,(,40,`(,11
5,53,N,78,5N,11
",",44,',39,",'",11
Ä,196,),41,Ä),11
B,66,7,55,B7,11
B,66,2,50,B2,11
Q,81,Y,89,QY,11
Á,193,C,67,ÁC,11
8,56,B,66,8B,11
',39,\,92,'\,11
3,51,º,186,3º,11
F,70,Ä,196,FÄ,11
U,85,Æ,198,UÆ,11
J,74,-,45,J-,11
-,45,',39,-',11
.,46,W,87,.W,11
;,59,2,50,;2,11
6,54,º,186,6º,11
|,124,1,49,|1,11
É,201,\,92,É\,10
Ó,211,P,80,ÓP,10
U,85,Ê,202,UÊ,10
&,38,.,46,&.,10
[,91,.,46,[.,10
N,78,4,52,N4,10
Ê,202,N,78,ÊN,10
.,46,V,86,.V,10
Y,89,2,50,Y2,10
1,49,N,78,1N,10
